#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2021,1,2,17,20,999,2.4,4.1,99,99,99,999,1025.1,14.1,999,11.9,99,99
2021,1,2,17,30,999,1.9,3.2,99,99,99,999,1025.1,14,999,11.8,99,99
2021,1,2,17,40,999,2.8,4.2,1.92,13.79,10.76,269,1025.4,14,999,11.7,99,99
2021,1,2,17,50,999,3.2,4.6,99,99,99,999,1025.5,14,999,11.7,99,99
2021,1,2,18,0,999,2.9,4.1,99,99,99,999,1025.5,14,999,11.7,99,99
2021,1,2,18,10,999,2.5,3.7,99,99,99,999,1025.3,13.9,999,11.5,99,99
2021,1,2,18,20,999,2.8,4.2,99,99,99,999,1025.2,14,999,11.5,99,99
2021,1,2,18,30,999,2.7,3.8,99,99,99,999,1025.2,14,999,11.5,99,99
2021,1,2,18,40,999,2.6,3.8,1.91,21.05,10.61,285,1025.2,14,999,11.5,99,99
2021,1,2,18,50,999,2.8,3.8,99,99,99,999,1025.1,14,999,11.4,99,99
2021,1,2,19,0,999,2.8,3.8,99,99,99,999,1025,14,999,11.3,99,99
2021,1,2,19,10,999,2.8,3.8,99,99,99,999,1024.6,14,999,11.3,99,99
2021,1,2,19,20,999,2.8,3.9,99,99,99,999,1024.4,13.9,999,11.2,99,99
2021,1,2,19,30,999,2.7,3.6,99,99,99,999,1024.3,13.9,999,11.2,99,99
2021,1,2,19,40,999,2.9,4,1.98,19.05,10.45,286,1024.2,14,999,11.3,99,99
2021,1,2,19,50,999,2.8,3.8,99,99,99,999,1024,13.9,999,11.2,99,99
2021,1,2,20,0,999,2.8,3.7,99,99,99,999,1023.9,13.9,999,11.3,99,99
2021,1,2,20,10,999,2.9,3.7,99,99,99,999,1023.8,13.9,999,11.3,99,99
2021,1,2,20,20,999,3.1,4.4,99,99,99,999,1023.7,13.9,999,11.2,99,99
2021,1,2,20,30,999,3.1,4.3,99,99,99,999,1023.6,13.8,999,11.1,99,99
2021,1,2,20,40,999,3.2,4.3,1.89,13.79,9.51,287,1023.6,13.9,999,11.2,99,99
2021,1,2,20,50,999,3,4.1,99,99,99,999,1023.4,13.9,999,11.3,99,99
2021,1,2,21,0,999,3.2,4.2,99,99,99,999,1023.5,13.9,999,11.3,99,99
2021,1,2,21,10,999,3.2,4.3,99,99,99,999,1023.5,13.9,999,11.3,99,99
2021,1,2,21,20,999,3.4,4.5,99,99,99,999,1023.4,13.8,999,11.1,99,99
2021,1,2,21,30,999,3.2,4.1,99,99,99,999,1023.3,13.9,999,11.2,99,99
2021,1,2,21,40,999,2.8,4.1,2.06,19.05,10.72,292,1023.3,13.9,999,11.2,99,99
2021,1,2,21,50,999,2.7,3.8,99,99,99,999,1023.3,13.9,999,11.2,99,99
2021,1,2,22,0,999,2.9,3.9,99,99,99,999,1023.3,13.9,999,11.2,99,99
2021,1,2,22,10,999,3,3.8,99,99,99,999,1023.4,13.9,999,11.1,99,99
2021,1,2,22,20,999,3,4.1,99,99,99,999,1023.4,14,999,11.3,99,99
2021,1,2,22,30,999,2.7,3.9,99,99,99,999,1023.5,13.9,999,11.2,99,99
2021,1,2,22,40,999,2.9,3.9,2.19,19.05,11.12,292,1023.6,14,999,11.3,99,99
2021,1,2,22,50,999,3.1,4.2,99,99,99,999,1023.7,14,999,11.4,99,99
2021,1,2,23,0,999,3.2,4.1,99,99,99,999,1023.7,14,999,11.4,99,99
2021,1,2,23,10,999,3.2,4.2,99,99,99,999,1023.6,14,999,11.5,99,99
2021,1,2,23,20,999,3.3,4.3,99,99,99,999,1023.4,13.9,999,11.4,99,99
