Beach_ID,Beach_Name,Latitude,Longitude,Sunrise,Sunset,Weather_Description,Temperature,Water_Temperature,Cloud_Cover,Wind_Speed,Wave_Height
196,Main Beach,33.54256641,-117.7869133,07:12 AM,05:58 PM,Patchy rain possible,62,67,91,9,2.3
197,Brooks Beach,33.53275705,-117.7771038,07:11 AM,05:58 PM,Partly cloudy,61,67,45,8,2.0
198,Victoria Beach,33.51689843,-117.7611228,07:11 AM,05:58 PM,Partly cloudy,61,67,45,8,2.0
199,Laguna Beach,33.54263769,-117.7870208,07:12 AM,05:58 PM,Patchy rain possible,62,67,91,9,2.3
200,Aliso Creek County Beach,33.51038632,-117.7525398,07:11 AM,05:58 PM,Partly cloudy,61,67,45,8,2.0
201,West Street Beach,33.50595903,-117.7486526,07:11 AM,05:58 PM,Partly cloudy,61,67,45,8,2.0
202,"1,000 Steps Beach",33.4985416,-117.7414247,07:11 AM,05:58 PM,Partly cloudy,61,67,45,8,2.0
203,Salt Creek County Beach,33.47769283,-117.7226023,07:11 AM,05:58 PM,Partly cloudy,61,67,45,8,2.0
204,Doheny State Beach,33.46287214,-117.6873259,07:11 AM,05:58 PM,Partly cloudy,61,67,45,8,2.0
205,Capistrano Beach,33.45614113,-117.6676277,07:11 AM,05:58 PM,Partly cloudy,61,67,45,8,2.0
206,Poche Beach,33.44156743,-117.64617,07:10 AM,05:58 PM,Partly cloudy,61,67,45,8,2.0
207,San Clemente City Beach,33.42782296,-117.6280388,07:10 AM,05:58 PM,Partly cloudy,61,67,45,8,2.0
208,San Clemente State Beach,33.40365884,-117.6048362,07:10 AM,05:58 PM,Partly cloudy,61,67,45,8,2.0
209,San Onofre State Beach,33.37388206,-117.5662879,07:10 AM,05:58 PM,Partly cloudy,61,67,45,8,2.0
210,"Del Mar Beach, Camp Pendleton",33.22066881,-117.4072513,07:09 AM,05:57 PM,Patchy rain possible,62,68,70,11,2.6
211,Harbor Beach,33.20826708,-117.3992667,07:09 AM,05:57 PM,Patchy rain possible,62,68,70,11,2.6
212,Oceanside City Beach,33.19538512,-117.3857032,07:09 AM,05:57 PM,Patchy rain possible,62,68,70,11,2.6
213,"Buccaneer Beach, Oceanside",33.17851501,-117.3703371,07:09 AM,05:57 PM,Patchy rain possible,62,68,70,11,2.6
214,South Oceanside Beach (Cassidy Street),33.17311454,-117.3655589,07:09 AM,05:57 PM,Patchy rain possible,62,68,70,11,2.6
